cubic, westwood, bbr, scalable, bic, highspeed, htcp, hybla, illinois, vegas, yeah, reno
71.383528,2.9396,81.2952,15.429008,56.923176,3.155288,3.9162,5.257568,7.815192,1.0206,19.274352,3.64004
2.495744,17.070832,107.59124,2.214112,2.10312,3.497464,31.10776,38.982104,24.220728,9.596936,40.939392,17.478264
2.024552,1.375648,74.279112,14.631208,1.171432,5.229664,56.033712,50.733112,48.490392,12.95468,49.074984,26.197456
1.810568,17.501248,101.166736,2.123848,1.616512,22.59832,30.857056,51.100344,7.414816,1.473144,49.544376,25.499496
1.496152,4.17784,102.476056,15.079472,1.821656,31.939968,80.168624,42.443344,6.076144,1.95076,1.91548,14.311872
1.344736,18.942808,76.397088,1.894496,24.213248,30.158112,3.9378,5.933056,4.187456,18.005448,1.71392,2.52048
1.565032,3.18552,84.05076,1.807864,40.960736,4.59272,2.893856,4.429776,4.227624,21.865512,2.27076,3.639488
2.157488,26.545288,83.28388,16.595416,31.394384,18.005976,3.12572,4.964512,34.790456,26.44236,2.123152,4.899168
20.745888,4.502584,88.01228,35.654104,2.964672,4.554136,54.538904,4.433912,26.467728,23.392672,15.634384,3.685576
64.497624,3.746544,73.620952,40.068168,27.074968,19.422176,4.808464,31.729688,34.869272,2.094576,2.43044,15.97848
9.00892,3.447288,103.990104,40.006248,5.54888,3.816416,57.59324,34.105832,42.422232,2.216184,1.884656,17.205736
3.403352,13.826312,106.392208,1.969944,3.420704,31.856032,96.18388,34.638472,4.860472,2.191848,1.38884,9.682016
1.963664,15.52732,106.236592,1.970872,3.23396,3.795536,95.152824,3.296032,3.646752,2.444592,1.466864,19.623952
2.170128,22.484784,105.16656,1.484008,4.447288,18.670928,3.681472,34.611536,4.39472,5.785456,18.59984,24.356928
37.755744,12.881304,77.97576,16.068256,3.0074,19.984576,4.622096,3.208,5.374688,7.118664,1.782744,3.304032
33.85316,2.542312,74.50188,1.607672,2.154432,3.976568,5.465184,3.299608,38.709632,23.046888,5.69764,16.95452
2.734744,3.13888,74.681608,15.210464,3.028328,3.148224,4.20112,37.873712,53.807264,33.580712,1.641464,25.925232
2.571192,14.51216,76.214736,1.443848,3.297912,17.086256,15.227616,51.4868,57.107704,1.811072,16.989712,3.361248
1.724232,3.491872,96.780624,2.164152,20.37888,17.876968,16.218192,3.593056,64.340472,1.316232,36.344256,3.061424
3.097408,3.389448,98.66868,16.61936,10.731968,3.200504,3.995704,4.687568,3.646952,17.408504,40.110808,3.065984
49.720984,3.781472,81.040888,34.148016,79.360664,2.558504,6.822968,24.430832,5.714816,1.000976,1.686248,3.050704
85.665976,3.295584,81.62104,38.54656,108.151384,15.352752,1.994024,4.247184,4.383776,30.19152,1.442136,17.469824
86.973344,17.01304,103.990208,1.913872,6.967152,2.230568,1.797144,38.553584,31.284776,1.507144,18.703328,26.01236
90.023672,18.020848,107.28944,1.957048,1.794832,14.476272,2.078168,3.643872,3.941968,36.434072,38.406664,27.651048
3.016896,2.164264,107.539056,16.287696,50.481376,1.420768,7.97076,52.421,27.209464,38.527208,1.44648,27.578072
2.241776,1.493944,107.493896,36.184048,93.644568,16.071192,7.64712,3.59108,4.237904,1.896144,1.39344,2.19116
3.042304,17.328608,86.541152,2.186136,1.733952,1.69632,8.554208,38.052472,38.521168,2.260376,1.333952,2.827824
2.388264,24.51468,87.97848,1.737464,2.42324,16.260264,5.194504,3.736384,3.680608,2.400528,17.924536,2.751312
